Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_year_category,km_year_equal_category,Make_smart,km_per_euro,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal
Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,Automatic,7750.0,11,17727.0,High,Medium_e,Toyota,25.2,0,0,0,0,1,0,0,0,0,0,0,0
Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,Manual,8550.0,8,16875.0,Medium,Medium_e,Renault,15.8,0,0,0,0,0,0,0,0,0,0,0,1
Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,Manual,6550.0,10,11000.0,Low,Low_e,Renault,16.8,0,0,0,0,0,0,0,0,0,0,0,1
Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,Manual,4100.0,16,12500.0,Medium,Low_e,Opel,48.8,0,0,0,0,0,0,0,0,0,0,0,1
Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,Manual,3490.0,22,13636.0,Medium,Low_e,Mercedes,86.0,0,0,0,0,0,1,0,0,0,0,0,0
Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,Manual,5600.0,12,24167.0,High,Medium_e,Volkswagen,51.8,0,0,0,0,0,0,0,0,0,0,0,1
Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,Automatic,17000.0,12,18333.0,High,Medium_e,Volkswagen,12.9,0,0,0,0,0,0,0,0,0,1,0,0
Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,Manual,2850.0,31,7742.0,Low,Low_e,Mercedes,84.2,0,0,0,0,0,0,0,0,0,0,1,0
BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,Manual,3400.0,18,18056.0,High,Medium_e,BMW,95.6,0,0,0,0,0,0,0,0,0,0,1,0
Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,Automatic,11400.0,12,17500.0,High,Medium_e,Mercedes,18.4,0,0,0,0,0,0,0,0,0,0,1,0
Mercedes,Rare,2006,Coupe,300000.0,3200.0,Diesel,Automatic,11800.0,16,18750.0,High,Medium_e,Mercedes,25.4,0,0,1,0,0,0,0,0,0,0,0,0
BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,Manual,3990.0,24,11875.0,Medium,Low_e,BMW,71.4,0,0,0,0,0,0,0,0,0,0,1,0
Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,Automatic,5000.0,15,15891.0,Medium,Low_e,Volkswagen,47.7,0,0,0,0,0,0,0,0,0,0,0,1
Volkswagen,Rare,2010,Hatchback,150000.0,1200.0,Petrol,Manual,5500.0,12,12500.0,Medium,Low_e,Volkswagen,27.3,0,0,0,0,1,0,0,0,0,0,0,0
Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,Automatic,15900.0,10,18000.0,High,Medium_e,Volvo,11.3,0,0,0,1,0,0,0,0,0,0,0,0
Nissan,Qashqai,2011,Crossover,251000.0,1500.0,Diesel,Manual,8300.0,11,22818.0,High,Medium_e,Nissan,30.2,0,0,0,1,0,0,0,0,0,0,0,0
Hyundai,Matrix,2005,Universal,383000.0,1500.0,Diesel,Manual,3200.0,17,22529.0,High,Medium_e,Hyundai,119.7,0,0,0,0,0,0,0,0,0,0,0,1
Audi,Rare,2009,Hatchback,248000.0,2000.0,Diesel,Automatic,9299.0,13,19077.0,High,Medium_e,Audi,26.7,0,0,0,0,1,0,0,0,0,0,0,0
Mercedes,E Class,2004,Universal,315000.0,1800.0,Metan/Propan,Manual,6900.0,18,17500.0,High,Medium_e,Mercedes,45.7,0,0,0,0,0,0,0,0,0,0,0,1
GAZ,Rare,1992,Sedan,68000.0,2445.0,Petrol,Manual,2222.0,30,2267.0,Low,Low_e,Rare cheap,30.6,0,0,0,0,0,0,0,0,0,0,1,0
Renault,Megane,2011,Universal,171000.0,1500.0,Diesel,Manual,5700.0,11,15545.0,Medium,Low_e,Renault,30.0,0,0,0,0,0,0,0,0,0,0,0,1
Rare,Rare,2013,Hatchback,113000.0,367.0,Electric,Automatic,27000.0,9,12556.0,Medium,Low_e,Rare expensive,4.2,0,0,0,0,1,0,0,0,0,0,0,0
Mercedes,E Class,2014,Sedan,275500.0,2200.0,Diesel,Automatic,18350.0,8,34438.0,High,High_e,Mercedes,15.0,0,0,0,0,0,0,0,0,0,0,1,0
Lincoln,Rare,2017,Sedan,157000.0,1998.0,Hybrid,Automatic,17800.0,5,31400.0,High,Medium_e,Rare expensive,8.8,0,0,0,0,0,0,0,0,0,0,1,0
Lexus,NX Series,2017,Crossover,76000.0,1998.0,Petrol,Automatic,27999.0,5,15200.0,Medium,Low_e,Lexus,2.7,0,0,0,1,0,0,0,0,0,0,0,0
Dodge,Rare,2008,Hatchback,113486.0,1998.0,Metan/Propan,Automatic,4495.0,14,8106.0,Low,Low_e,Rare cheap,25.2,0,0,0,0,1,0,0,0,0,0,0,0
Audi,100,1993,Sedan,235000.0,2000.0,Petrol,Manual,2950.0,29,8103.0,Low,Low_e,Audi,79.7,0,0,0,0,0,0,0,0,0,0,1,0
Porsche,Cayenne,2012,Crossover,253444.0,3000.0,Diesel,Automatic,30222.0,10,25344.0,High,Medium_e,Porsche,8.4,0,0,0,1,0,0,0,0,0,0,0,0
Lexus,RX Series,2009,SUV,250000.0,3500.0,Hybrid,Automatic,17990.0,13,19231.0,High,Medium_e,Lexus,13.9,0,0,0,0,0,0,0,0,0,1,0,0
Volkswagen,Passat,2012,Sedan,179000.0,1400.0,Metan/Propan,Automatic,9800.0,10,17900.0,High,Medium_e,Volkswagen,18.3,0,0,0,0,0,0,0,0,0,0,1,0
BMW,Rare,2015,Crossover,169777.0,2000.0,Diesel,Automatic,16888.0,7,24254.0,High,Medium_e,BMW,10.1,0,0,0,1,0,0,0,0,0,0,0,0
Mercedes,Rare,2017,Crossover,71333.0,2500.0,Diesel,Automatic,43404.0,5,14267.0,Medium,Low_e,Mercedes,1.6,0,0,0,1,0,0,0,0,0,0,0,0
Opel,Vectra,1994,Sedan,340000.0,1800.0,Petrol,Manual,1500.0,28,12143.0,Medium,Low_e,Opel,226.7,0,0,0,0,0,0,0,0,0,0,1,0
BMW,7 Series,2007,Sedan,300000.0,3000.0,Diesel,Automatic,11500.0,15,20000.0,High,Medium_e,BMW,26.1,0,0,0,0,0,0,0,0,0,0,1,0
Volkswagen,Touran,2004,Minivan,280000.0,200.0,Diesel,Automatic,5300.0,18,15556.0,Medium,Low_e,Volkswagen,52.8,0,0,0,0,0,0,1,0,0,0,0,0
Volkswagen,Passat,2010,Universal,228000.0,1400.0,Metan/Propan,Automatic,5700.0,12,19000.0,High,Medium_e,Volkswagen,40.0,0,0,0,0,0,0,0,0,0,0,0,1
Toyota,Auris,2010,Sedan,185000.0,1400.0,Diesel,Manual,6500.0,12,15417.0,Medium,Low_e,Toyota,28.5,0,0,0,0,0,0,0,0,0,0,1,0
Nissan,Qashqai,2009,Hatchback,200415.0,1500.0,Diesel,Manual,6200.0,13,15417.0,Medium,Low_e,Nissan,32.3,0,0,0,0,1,0,0,0,0,0,0,0
BMW,3 Series,2016,Minivan,136000.0,2000.0,Diesel,Automatic,13200.0,6,22667.0,High,Medium_e,BMW,10.3,0,0,0,0,0,0,1,0,0,0,0,0
BMW,5 Series,2003,Sedan,250000.0,3000.0,Petrol,Automatic,7490.0,19,13158.0,Medium,Low_e,BMW,33.4,0,0,0,0,0,0,0,0,0,0,1,0
Dacia,Logan,2014,Sedan,195000.0,1200.0,Metan/Propan,Manual,3999.0,8,24375.0,High,Medium_e,Dacia,48.8,0,0,0,0,0,0,0,0,0,0,1,0
Dacia,Duster,2015,SUV,170000.0,1500.0,Diesel,Manual,8800.0,7,24286.0,High,Medium_e,Dacia,19.3,0,0,0,0,0,0,0,0,0,1,0,0
Volkswagen,Golf,2010,Universal,191500.0,1400.0,Petrol,Manual,5700.0,12,15958.0,Medium,Low_e,Volkswagen,33.6,0,0,0,0,0,0,0,0,0,0,0,1
Volkswagen,Passat,1991,Sedan,292000.0,1800.0,Petrol,Manual,1150.0,31,9419.0,Low,Low_e,Volkswagen,253.9,0,0,0,0,0,0,0,0,0,0,1,0
BMW,3 Series,2004,Sedan,250000.0,2000.0,Diesel,Manual,4499.0,18,13889.0,Medium,Low_e,BMW,55.6,0,0,0,0,0,0,0,0,0,0,1,0
Nissan,Qashqai,2015,Crossover,158000.0,1500.0,Diesel,Manual,11750.0,7,22571.0,High,Medium_e,Nissan,13.4,0,0,0,1,0,0,0,0,0,0,0,0
Peugeot,Rare,2018,Crossover,132000.0,1500.0,Diesel,Automatic,16500.0,4,33000.0,High,Medium_e,Peugeot,8.0,0,0,0,1,0,0,0,0,0,0,0,0
BMW,X5,2005,SUV,260500.0,3000.0,Petrol,Automatic,8999.0,17,15324.0,Medium,Low_e,BMW,28.9,0,0,0,0,0,0,0,0,0,1,0,0
Renault,Megane,2005,Universal,11111.0,1500.0,Diesel,Manual,3200.0,17,654.0,Low,Low_e,Renault,3.5,0,0,0,0,0,0,0,0,0,0,0,1
Nissan,Qashqai,2013,SUV,180000.0,1500.0,Diesel,Manual,8999.0,9,20000.0,High,Medium_e,Nissan,20.0,0,0,0,0,0,0,0,0,0,1,0,0
Ford,Transit Connect,2012,Minivan,151658.0,1800.0,Diesel,Manual,3899.0,10,15166.0,Medium,Low_e,Ford,38.9,0,0,0,0,0,0,1,0,0,0,0,0
Renault,Scenic,2015,Microvan,185480.0,1461.0,Diesel,Manual,7550.0,7,26497.0,High,Medium_e,Renault,24.6,0,0,0,0,0,1,0,0,0,0,0,0
